date,pm10,pm2_5,nitrogen_dioxide,ozone
2020-01-01 00:00:00+00:00,17.4875,13.1625,8.6125,35.4167
2020-01-02 00:00:00+00:00,10.1167,7.7375,8.3125,27.125
2020-01-03 00:00:00+00:00,5.7458,3.9583,4.7333,55.5417
2020-01-04 00:00:00+00:00,11.7458,7.0667,7.0125,50.25
2020-01-05 00:00:00+00:00,10.5917,6.8625,5.0583,47.375
2020-01-06 00:00:00+00:00,9.4042,6.5417,7.5542,46.8333
2020-01-07 00:00:00+00:00,13.6833,9.2167,6.2042,45.9583
2020-01-08 00:00:00+00:00,4.7333,4.0208,6.125,36.5833
2020-01-09 00:00:00+00:00,2.8333,2.6292,3.4792,50.625
2020-01-10 00:00:00+00:00,4.1625,2.7875,5.9167,60.0
2020-01-11 00:00:00+00:00,10.0792,7.4292,5.0917,51.7917
2020-01-12 00:00:00+00:00,7.95,5.775,3.6333,53.6667
2020-01-13 00:00:00+00:00,4.925,3.8708,3.4625,52.1667
2020-01-14 00:00:00+00:00,3.4417,2.7833,3.2167,59.3333
2020-01-15 00:00:00+00:00,6.1625,4.225,3.8833,63.0833
2020-01-16 00:00:00+00:00,8.55,5.85,4.5792,53.6667
2020-01-17 00:00:00+00:00,5.5417,3.75,4.8083,62.4167
2020-01-18 00:00:00+00:00,8.7542,5.0667,6.375,55.2917
2020-01-19 00:00:00+00:00,14.3167,9.2083,11.2917,45.7917
2020-01-20 00:00:00+00:00,11.9083,7.35,8.8208,49.3333
2020-01-21 00:00:00+00:00,13.425,9.2083,13.4708,37.2083
2020-01-22 00:00:00+00:00,17.975,14.3208,18.4083,27.375
2020-01-23 00:00:00+00:00,8.8167,6.9583,8.775,37.2917
2020-01-24 00:00:00+00:00,29.5708,23.9583,14.9208,20.8333
2020-01-25 00:00:00+00:00,24.625,18.6042,12.1083,28.0417
2020-01-26 00:00:00+00:00,26.1083,20.2375,11.2875,31.625
2020-01-27 00:00:00+00:00,5.6458,4.4833,3.5875,58.8333
2020-01-28 00:00:00+00:00,2.7958,1.8583,3.2875,77.125
2020-01-29 00:00:00+00:00,5.3292,2.8625,3.6333,72.1667
2020-01-30 00:00:00+00:00,5.4875,3.4958,5.8875,54.5
2020-01-31 00:00:00+00:00,2.9708,2.3625,4.1375,55.5833
2020-02-01 00:00:00+00:00,2.975,1.9625,2.15,64.75
2020-02-02 00:00:00+00:00,4.1958,2.3042,1.8125,65.375
2020-02-03 00:00:00+00:00,3.75,2.075,3.175,71.125
2020-02-04 00:00:00+00:00,4.6625,2.3875,5.3167,67.8333
2020-02-05 00:00:00+00:00,8.8458,4.9417,7.2333,61.3333
2020-02-06 00:00:00+00:00,18.5958,13.9458,10.9917,39.3333
2020-02-07 00:00:00+00:00,20.1042,15.2917,15.5542,39.1667
2020-02-08 00:00:00+00:00,20.8542,14.5833,12.1708,36.9167
2020-02-09 00:00:00+00:00,7.4833,5.0,2.2542,63.9583
2020-02-10 00:00:00+00:00,5.1208,2.8167,1.6917,77.0833
2020-02-11 00:00:00+00:00,4.1208,2.3083,1.8458,78.9167
2020-02-12 00:00:00+00:00,5.3917,2.9542,4.025,68.1667
2020-02-13 00:00:00+00:00,4.8083,3.025,4.2917,65.75
2020-02-14 00:00:00+00:00,8.3333,4.775,5.3958,64.5417
2020-02-15 00:00:00+00:00,8.6833,4.9583,2.8458,64.2917
2020-02-16 00:00:00+00:00,4.85,3.1625,1.4292,67.0417
2020-02-17 00:00:00+00:00,3.6167,2.4542,2.5625,76.125
2020-02-18 00:00:00+00:00,5.8292,3.2667,3.8625,65.2917
2020-02-19 00:00:00+00:00,4.975,3.0333,3.3333,69.125
2020-02-20 00:00:00+00:00,5.15,3.5667,3.0333,69.125
2020-02-21 00:00:00+00:00,7.325,3.6792,5.0292,59.125
2020-02-22 00:00:00+00:00,7.375,4.225,4.3875,61.2917
2020-02-23 00:00:00+00:00,3.8167,2.3333,2.2333,60.6667
2020-02-24 00:00:00+00:00,2.875,2.1042,3.45,53.4167
2020-02-25 00:00:00+00:00,3.225,2.1417,2.5125,74.5
2020-02-26 00:00:00+00:00,3.675,2.5333,3.1333,72.6667
2020-02-27 00:00:00+00:00,4.5917,2.9083,6.1417,60.625
2020-02-28 00:00:00+00:00,8.7875,5.5208,6.3333,62.0417
2020-02-29 00:00:00+00:00,11.5333,6.7667,2.2458,66.8333
2020-03-01 00:00:00+00:00,3.25,2.125,1.7333,74.3333
2020-03-02 00:00:00+00:00,3.4875,2.575,4.4417,65.5833
2020-03-03 00:00:00+00:00,7.2083,4.2708,4.5958,64.25
2020-03-04 00:00:00+00:00,9.6875,6.0958,4.5792,61.2083
2020-03-05 00:00:00+00:00,2.5042,2.1792,4.8792,60.4167
2020-03-06 00:00:00+00:00,7.9542,6.4917,8.5542,54.8333
2020-03-07 00:00:00+00:00,13.7958,9.825,5.7125,67.0833
2020-03-08 00:00:00+00:00,5.9833,4.425,2.2083,71.2083
2020-03-09 00:00:00+00:00,5.4333,3.4458,2.9083,69.5417
2020-03-10 00:00:00+00:00,2.8083,2.0667,3.7792,60.5833
2020-03-11 00:00:00+00:00,3.575,2.625,3.0,57.4583
2020-03-12 00:00:00+00:00,4.8208,2.45,1.6708,76.0417
2020-03-13 00:00:00+00:00,7.7958,3.1167,3.1042,67.7083
2020-03-14 00:00:00+00:00,8.0875,4.2708,3.675,55.0
2020-03-15 00:00:00+00:00,5.6625,3.5208,2.0542,66.5
2020-03-16 00:00:00+00:00,17.1667,12.3833,8.1375,50.2083
2020-03-17 00:00:00+00:00,20.3208,15.4875,7.2792,53.1667
2020-03-18 00:00:00+00:00,19.8125,15.0333,5.7542,53.0417
2020-03-19 00:00:00+00:00,21.4625,15.6583,5.325,57.2917
2020-03-20 00:00:00+00:00,34.7125,28.0,11.6625,30.5
2020-03-21 00:00:00+00:00,4.0042,2.7875,3.175,58.0417
2020-03-22 00:00:00+00:00,5.275,3.4,2.45,73.0833
2020-03-23 00:00:00+00:00,6.1083,3.4208,3.075,77.5
2020-03-24 00:00:00+00:00,9.0042,5.6875,3.9958,77.0833
2020-03-25 00:00:00+00:00,16.7125,11.35,4.4458,84.4583
2020-03-26 00:00:00+00:00,20.7167,14.5917,4.6375,80.0417
2020-03-27 00:00:00+00:00,32.8667,22.8375,6.95,69.0417
2020-03-28 00:00:00+00:00,44.2958,29.6167,7.1125,77.1667
2020-03-29 00:00:00+00:00,6.9583,2.825,2.6208,73.625
2020-03-30 00:00:00+00:00,7.1708,3.8958,6.0208,69.2917
2020-03-31 00:00:00+00:00,14.5875,9.85,5.3208,67.625
2020-04-01 00:00:00+00:00,18.4458,12.5,7.9792,70.875
2020-04-02 00:00:00+00:00,24.3917,18.2875,7.4667,66.4167
2020-04-03 00:00:00+00:00,15.4625,9.1583,5.25,64.3333
2020-04-04 00:00:00+00:00,13.8958,8.3542,3.625,75.4583
2020-04-05 00:00:00+00:00,16.1417,10.9625,3.575,89.5417
2020-04-06 00:00:00+00:00,16.1792,10.1833,3.6,94.3333
2020-04-07 00:00:00+00:00,15.8667,10.0583,4.1417,76.125
