,NO2,PM2.5,PM10,O3
2014-01-01,7.6692,18.9708,15.3761,57.5892
2014-01-02,11.9963,1.954,11.6086,53.325
2014-01-03,9.0075,2.481,13.1107,61.3183
2014-01-04,10.1358,4.2315,17.234,54.4079
2014-01-05,11.8304,4.6437,11.5601,53.3921
2014-01-06,11.3942,1.063,7.034,51.9575
2014-01-07,11.6379,2.6318,15.6792,58.8704
2014-01-08,28.3454,5.1887,13.6126,35.5679
2014-01-09,12.1221,3.2315,12.6688,50.0925
2014-01-10,21.5362,5.7628,18.7361,39.0925
2014-01-11,17.995,13.2991,19.1817,42.0488
2014-01-12,24.4246,13.3177,19.0345,30.4088
2014-01-13,27.3492,9.6829,19.5599,32.4421
2014-01-14,23.8471,9.2252,10.766,31.9283
2014-01-15,33.2471,10.0104,16.9236,25.1621
2014-01-16,24.93,4.3604,9.4502,34.8313
2014-01-17,16.3079,3.0805,8.6237,48.1129
2014-01-18,24.0904,7.0622,14.8063,25.9458
2014-01-19,30.8608,13.2208,18.4053,8.7942
2014-01-20,39.4225,20.9621,27.5383,1.0117
2014-01-21,31.1438,14.7039,19.8484,10.8817
2014-01-22,18.1921,14.081,15.6803,37.345
2014-01-23,29.5442,17.5172,24.841,23.5754
2014-01-24,27.5638,3.8409,19.9627,35.4362
2014-01-25,16.8575,20.0283,15.9949,45.035
2014-01-26,10.0267,4.6629,21.3823,59.4921
2014-01-27,14.6654,4.7543,14.1229,57.1667
2014-01-28,13.0954,4.4446,9.6662,51.3562
2014-01-29,33.7908,21.1369,25.3705,19.4542
2014-01-30,44.4775,33.3205,38.7192,4.4683
2014-01-31,35.4283,29.2491,34.5291,17.2429
2014-02-01,8.8146,2.8674,10.094,60.4533
2014-02-02,14.1467,3.9922,18.361,47.5704
2014-02-03,30.6388,8.0637,20.3467,23.2446
2014-02-04,18.2938,7.6705,14.4417,42.5808
2014-02-05,12.6804,1.1292,11.4192,55.2462
2014-02-06,10.6633,1.9543,16.6045,58.7267
2014-02-07,13.2321,-1.0531,11.3049,51.0067
2014-02-08,9.9829,,6.9688,60.5838
2014-02-09,3.5746,0.6499,11.1808,72.9379
2014-02-10,21.7262,2.0548,12.1841,42.9633
2014-02-11,14.7196,3.9886,12.3797,53.5312
2014-02-12,14.6288,2.9727,12.6469,54.0033
2014-02-13,15.0738,1.405,12.4455,60.1121
2014-02-14,17.9208,1.1309,10.0678,47.6454
2014-02-15,3.7296,-0.0225,13.1404,71.77
2014-02-16,11.3696,1.2147,16.4717,50.8842
2014-02-17,25.6912,4.2595,15.5008,32.4996
2014-02-18,35.1879,8.7069,19.3324,21.0888
2014-02-19,29.3821,8.1855,17.2585,26.8367
2014-02-20,22.5167,5.4322,11.5209,36.5367
2014-02-21,10.0233,0.3183,13.8074,67.7921
2014-02-22,12.1662,3.2164,14.7302,56.4483
2014-02-23,13.2188,5.0603,12.1627,50.6271
2014-02-24,23.9796,5.881,15.1857,37.3346
2014-02-25,16.2417,4.0903,14.7949,51.705
